Date,Open,High,Low,Close,Adj Close,Volume,stock
1962-01-02,6.5321550369262695,6.556184768676758,6.5321550369262695,6.5321550369262695,1.5366575717926023,55900.0,AA
1962-01-02,6.125843524932861,6.160982131958008,6.125843524932861,6.125843524932861,1.4146506786346436,59700.0,ARNC
1962-01-02,0.8374485373497009,0.8374485373497009,0.8230452537536621,0.8230452537536621,0.1457476019859314,352200.0,BA
1962-01-02,1.6041666269302368,1.6197916269302368,1.5885416269302368,1.6041666269302368,0.13695742189884186,163200.0,CAT
1962-01-02,0.0,3.2961308956146236,3.2440476417541504,3.2961308956146236,0.0519925132393837,105600.0,CVX
1962-01-02,0.09290838986635208,0.09602611511945723,0.09290838986635208,0.09290838986635208,0.03551724553108215,817400.0,DIS
1962-01-02,0.0,30.6875,30.375,30.375,0.5069432854652405,1600.0,DTE
1962-01-02,0.0,10.28125,10.125,10.125,0.2273507714271545,25600.0,ED
1962-01-02,0.0,7.6875,7.541666507720947,7.583333492279053,0.9789445996284484,49200.0,FL
1962-01-02,0.7512019276618958,0.7637219429016113,0.7436898946762085,0.7486979365348816,0.0017815923783928156,2156500.0,GE
1962-01-02,0.0,11.1875,11.0,11.125,1.9360235929489136,32000.0,GT
1962-01-02,0.13127270340919495,0.13127270340919495,0.12417688220739365,0.12417688220739365,0.00688728503882885,2480300.0,HPQ
1962-01-02,7.7133331298828125,7.7133331298828125,7.62666654586792,7.62666654586792,0.618152916431427,387200.0,IBM
1962-01-02,0.0,9.064276695251463,8.852776527404785,8.852776527404785,0.7757689356803894,48600.0,IP
1962-01-02,0.0,0.22337962687015533,0.2222222238779068,0.22337962687015533,6.281418905018654e-07,0.0,JNJ
1962-01-02,0.2630208432674408,0.2701822817325592,0.2630208432674408,0.2630208432674408,0.004237719811499119,806400.0,KO
1962-01-02,0.0,0.1918402761220932,0.1892361044883728,0.1892361044883728,0.0002316218306077644,345600.0,MO
1962-01-02,0.0,263.125,258.125,260.625,116.5582046508789,400.0,NAV
1962-01-02,0.0,1.44140625,1.421875,1.4296875,0.013509385287761688,192000.0,PG
1962-01-02,0.0,1.58984375,1.578125,1.578125,0.013913333415985107,902400.0,XOM
